Tool / Resource,Category,Software / Resource link,Purpose
fastp,Read QC & preprocessing,https://github.com/OpenGene/fastp,"All-in-one FASTQ QC, adapter trimming, polyG/polyX clipping, dedup, length/quality filtering."
FastQC,Read QC & preprocessing,https://github.com/s-andrews/FastQC,"Per-sample QC report on base quality, GC, adapter content, duplication."
Trimmomatic,Read QC & preprocessing,https://github.com/usadellab/Trimmomatic,Adapter and quality trimming for Illumina reads with sliding-window and ILLUMINACLIP modes.
BBDuk (BBTools),Read QC & preprocessing,https://sourceforge.net/projects/bbmap/,"K-mer based adapter trimming, contaminant filtering, quality trimming, kmer matching."
FastQ Screen,Read QC & preprocessing,https://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/,Screens reads against multiple reference genomes to detect contamination or sample composition issues.
ResFinder (DB),Reference DBs AMR,https://bitbucket.org/genomicepidemiology/resfinder_db,DTU AMR reference DB (also see tool entry); acquired-resistance focus.
CARD,Reference DBs AMR,https://card.mcmaster.ca/,Comprehensive Antibiotic Resistance Database with curated ARO ontology.
ARG-ANNOT,Reference DBs AMR,https://www.mediterranee-infection.com/acces-ressources/base-de-donnees/arg-annot-2/,Antibiotic Resistance Gene-ANNOTation database (Bordeaux).
MIBiG,Reference DBs BGCs,https://mibig.secondarymetabolites.org/,Minimum Information about a Biosynthetic Gene cluster curated BGC reference.
GMrepo v2,Reference DBs curated cohorts,https://gmrepo.humangut.info/,Curated database of human gut metagenomes and phenotypes.
curatedMetagenomicData,Reference DBs curated cohorts,https://waldronlab.io/curatedMetagenomicData/,"Curated, uniformly processed human metagenome datasets for R/Bioconductor."
microbiome-metabolome-curated-data,Reference DBs curated cohorts,https://github.com/borenstein-lab/microbiome-metabolome-curated-data,Paired datasets of metagenomes and metabolomes
cFMD,Reference DBs food microbiome MAG catalogues,https://github.com/SegataLab/cFMD,"Curated Food Metagenomic Data resource with food shotgun metagenomes, MAGs and HUMAnN outputs."
LakePulse MAG Catalogue,Reference DBs freshwater MAG catalogues,https://datadryad.org/,Canadian freshwater and oligosaline lake MAG catalogue.
eggNOG,Reference DBs function,http://eggnog5.embl.de/,Orthologous group database with functional annotations across taxa.
CAZy,Reference DBs function,http://www.cazy.org/,"Carbohydrate-Active enZYmes database (GHs, GTs, PLs, CEs, AAs)."
MetaCyc,Reference DBs function,https://metacyc.org/,Manually curated metabolic pathway database.
Pfam,Reference DBs function,https://www.ebi.ac.uk/interpro/,Protein family HMMs of conserved domains.
InterPro,Reference DBs function,https://www.ebi.ac.uk/interpro/,"Integrated protein signatures across Pfam, SMART, PROSITE, PANTHER, etc."
KEGG,Reference DBs function,https://www.kegg.jp/,"Curated pathway, ortholog (KO), and reaction database."
HRGM2,Reference DBs human gut MAG catalogues,https://www.hrgm.org/,Human Reference Gut Microbiome non-redundant genome catalogue.
HROM,Reference DBs human oral MAG catalogues,https://www.hrom.org/,Human oral MAG catalogue.
gcMeta,Reference DBs MAG catalogues,https://gcmeta.wdcm.org/,Multi-biome catalogue/database portal with public catalogue APIs and archive bundles.
GEM catalog,Reference DBs MAG catalogues,https://portal.nersc.gov/GEM/,Global Earth Microbiome catalogue of bacterial and archaeal MAGs across environments.
OMDB,Reference DBs marine MAG catalogues,https://omdb.genzentrum.lmu.de/,"Ocean Microbiome Database with reconstructed genomes, genes and scaffold catalogues."
MiMeDB,Reference DBs metabolite interactions,https://mimedb.org/,Microbe-metabolite interaction database.
BacDive,Reference DBs microbial traits,https://bacdive.dsmz.de/,Bacterial diversity metadatabase with phenotypic and physiological traits.
MRGM,Reference DBs mouse gut MAG catalogues,https://www.mrgm.org/,Mouse gut MAG catalogue and companion profiling databases.
IMG/VR,Reference DBs phages/viruses,https://img.jgi.doe.gov/vr/,JGI's integrated viral genome database from cultivated and uncultivated sources.
MGV,Reference DBs phages/viruses,https://portal.nersc.gov/MGV/,Metagenomic Gut Virus catalog of >180k high-quality gut viral genomes.
RVDB,Reference DBs phages/viruses,https://rvdb.dbi.udel.edu/,Reference Viral DataBase curated viral protein/nucleotide reference.
RUG2,Reference DBs rumen MAG catalogues,https://datashare.ed.ac.uk/,Cattle rumen MAG catalogue and companion annotations.
mBodyMap,Reference DBs signatures,https://mbodymap.microbiome.cloud/,Body-site resolved human microbiome abundance and prevalence reference.
SMAG,Reference DBs soil MAG catalogues,https://microbma.github.io/project/SMAG.html,Global Soil MAG catalogue from thousands of soil metagenomes.
MetaPhlAn4 + SGB database,Reference DBs taxa,https://github.com/biobakery/MetaPhlAn,Species-level genome bin marker database underlying MetaPhlAn4.
GTDB,Reference DBs taxa,https://gtdb.ecogenomic.org/,Genome Taxonomy Database standardised prokaryotic taxonomy from genome phylogeny.
MGnify,Reference DBs taxa,https://www.ebi.ac.uk/metagenomics/,"EMBL-EBI resource for metagenomic datasets, assemblies, genomes and analysis outputs."
UHGG,Reference DBs taxa,https://www.ebi.ac.uk/metagenomics/genome-catalogues/human-gut-v2-0,Unified Human Gastrointestinal Genome catalog (>200k genomes from human gut).
NCBI RefSeq,Reference DBs taxa,https://www.ncbi.nlm.nih.gov/refseq/,Curated reference genomes and taxonomy maintained by NCBI.
Meta-virus Resource (MetaVR),Reference DBs viral genome catalogues,https://metavirus-resource.org/,"Multi-biome database of uncultivated viral genomes, vOTUs and protein clusters."
VFDB,Reference DBs virulence,http://www.mgc.ac.cn/VFs/,Virulence Factor Database curated virulence factor gene catalog.
Mosdepth,Sequencing depth / metagenomic coverage,https://github.com/brentp/mosdepth,Fast depth/coverage calculation from BAM/CRAM files.
CoverM,Sequencing depth / metagenomic coverage,https://github.com/wwood/CoverM,"Calculates read coverage of contigs, genomes and MAGs from metagenomic mapping."
Nonpareil,Sequencing depth / metagenomic coverage,https://nonpareil.readthedocs.io/,Estimates metagenomic coverage and projects sequencing effort using read redundancy.
miaSim,Simulation & benchmarking,https://microbiome.github.io/miaSim/,"Simulates longitudinal and time-series microbial community dynamics using ecological models such as gLV, Ricker, Hubbell neutral and consumer-resource models."
SourceTracker2,Source tracking,https://github.com/biota/sourcetracker2,Bayesian microbial source tracking method.
FEAST,Source tracking,https://github.com/cozygene/FEAST,Fast expectation-maximisation source tracking for microbial communities.
StrainPhlAn4,Strain-level analysis,https://github.com/biobakery/MetaPhlAn,SNV-based strain phylogenies built from MetaPhlAn4 species marker reads.
StrainGE,Strain-level analysis,https://github.com/broadinstitute/StrainGE,Reference-based strain detection and abundance at low coverage.
StrainFinder,Strain-level analysis,https://github.com/cssmillie/StrainFinder,EM-based mixture model of strain frequencies at marker SNV sites.
MIDAS2,Strain-level analysis,https://github.com/czbiohub-sf/MIDAS2,Strain-level SNP and CNV profiling against UHGG species pangenomes.
SameStr,Strain-level analysis,https://github.com/danielpodlesny/SameStr,Shared strain detection via SNV co-occurrence across samples.
inStrain,Strain-level analysis,https://github.com/MrOlm/inStrain,"Population genetics on MAGs: ANI, SNVs, popANI, conANI, gene content."
PStrain,Strain-level analysis,https://github.com/wshuai294/PStrain,Iterative reconstruction of strain composition from SNV profiles.
TRACS,Strain-level analysis,https://github.com/gtonkinhill/tracs/,Strain level tracking across samples
ESM Metagenomic Atlas,Structural metagenomics / protein structure at scale,https://esmatlas.com/,Database of >600M predicted structures from metagenomic ORFs (ESMFold).
ESMFold,Structural metagenomics / protein structure at scale,https://github.com/facebookresearch/esm,Single-sequence protein structure prediction from ESM-2 protein LM.
BugSigDB,Taxon set / signature enrichment,https://bugsigdb.org/,Manually curated database of published microbial signatures across conditions.
EnrichM,Taxon set / signature enrichment,https://github.com/geronimp/enrichM,Function enrichment in MAGs KEGG/Pfam/CAZy/COG enrichment vs background.
MicrobiomeAnalyst TSEA,Taxon set / signature enrichment,https://www.microbiomeanalyst.ca/,Taxon Set Enrichment Analysis module testing user lists against curated signatures.
PhyloPhlAn,Taxonomic placement / MAG taxonomy,https://github.com/biobakery/phylophlan,Phylogenetic placement on universal marker tree (>400 markers); strain-level support.
skani,Taxonomic placement / MAG taxonomy,https://github.com/bluenote-1577/skani,Fast accurate ANI estimation for MAGs and large genome collections.
GTDB-Tk,Taxonomic placement / MAG taxonomy,https://github.com/Ecogenomics/GTDBTk,Classifies prokaryotic MAGs against the GTDB taxonomy using marker placements + ANI.
Mash,Taxonomic placement / MAG taxonomy,https://github.com/marbl/Mash,Original MinHash sketch tool for genome distance and screening.
CAT/BAT,Taxonomic placement / MAG taxonomy,https://github.com/MGXlab/CAT_pack,Contig Annotation Tool and Bin Annotation Tool for taxonomic classification of contigs and MAGs.
sourmash,Taxonomic placement / MAG taxonomy,https://github.com/sourmash-bio/sourmash,"MinHash/FracMinHash sketches for fast ANI, classification, and search."
CLARK,Taxonomic profiling read-based,http://clark.cs.ucr.edu/,K-mer based taxonomic classification of metagenomic reads.
MetaPhlAn4,Taxonomic profiling read-based,https://github.com/biobakery/MetaPhlAn,Marker-gene based species- and SGB-level profiler using clade-specific markers.
Kaiju,Taxonomic profiling read-based,https://github.com/bioinformatics-centre/kaiju,Protein-level read classification via translated BWT search; better for divergent taxa.
sylph,Taxonomic profiling read-based,https://github.com/bluenote-1577/sylph,ANI-based metagenomic profiler using k-mer containment and zero-inflated statistics.
Centrifuge,Taxonomic profiling read-based,https://github.com/DaehwanKimLab/centrifuge,BWT/FM-index based classifier compressing many references for taxonomic assignment.
Kraken2,Taxonomic profiling read-based,https://github.com/DerrickWood/kraken2,K-mer based exact-match LCA taxonomic classifier of reads against a hash database.
KrakenUniq,Taxonomic profiling read-based,https://github.com/fbreitwieser/krakenuniq,Kraken with HyperLogLog unique-k-mer counts per taxon to flag false positives.
Bracken,Taxonomic profiling read-based,https://github.com/jenniferlu717/Bracken,Bayesian re-estimation of species/genus abundance from Kraken2 read assignments.
Recentrifuge,Taxonomic profiling read-based,https://github.com/khyox/recentrifuge,Interactive and statistical comparative analysis of Centrifuge/Kraken-style taxonomic classification outputs.
mOTUs3,Taxonomic profiling read-based,https://github.com/motu-tool/mOTUs,Universal single-copy marker-gene-based operational taxonomic unit profiler with metagenomic OTUs.
KMCP,Taxonomic profiling read-based,https://github.com/shenwei356/kmcp,Accurate metagenomic profiler with COBS-style k-mer index and confidence scoring.
SingleM,Taxonomic profiling read-based,https://wwood.github.io/singlem/,"Marker-gene based profiling of shotgun short- and long-read metagenomes, with strength for novel lineages."
BEEM,Temporal / dynamic modelling,https://github.com/csb5/BEEM,Estimate gLV parameters from cross-sectional or short time-series data.
MDSINE2,Temporal / dynamic modelling,https://github.com/gerberlab/MDSINE2,Bayesian generalised Lotka–Volterra inference with regularisation and perturbations.
gLV fitting (generic),Temporal / dynamic modelling,https://github.com/gerberlab/MDSINE2,Custom generalised Lotka–Volterra parameter fitting via ODE optimisation.
TIME,Temporal / dynamic modelling,https://web.rniapps.net/time/,Web tool for time-resolved microbiome data exploration and trend testing.
VirSorter (legacy),Viral / Virome,https://bitbucket.org/MAVERICLab/virsorter,"Original viral sequence detection tool based on viral hallmark genes, depletion of cellular genes, and related signals."
ViralVerify,Viral / Virome,https://github.com/ablab/viralVerify,"Classifies metagenomic contigs as viral, bacterial, or uncertain using gene prediction, HMMs and a Naive Bayes classifier; also part of metaSPAdes viral workflows."
PhaMers,Viral / Virome,https://github.com/jondeaton/PhaMers,Supervised k-mer based classifier for identifying bacteriophage sequences from metagenomic contigs.
PhaBOX,Viral / Virome,https://github.com/KennthShang/PhaBOX,"Web server/workflow for phage contig identification, lifestyle prediction, taxonomic classification, and host prediction."
Phage Galaxy,Viral / Virome,https://phage.usegalaxy.eu/,"Galaxy-based platform containing workflows and tools for phage assembly, annotation, comparative genomics, and related analyses."
Empathi,Viral / Virome,https://github.com/Alexandre-Boulay/Empathi,Embedding-based hierarchical phage protein annotation tool.
Pharokka,Viral / Virome,https://github.com/gbouras13/pharokka,"Rapid, standardised annotation of bacteriophage genomes and metagenomes."
Phold,Viral / Virome,https://github.com/gbouras13/phold,Protein structure-informed bacteriophage genome annotation using ProstT5 and Foldseek against curated phage protein structures.
PhaGO,Viral / Virome,https://github.com/JiaojiaoGuan/PhaGO,Phage protein function annotation integrating protein embeddings with genomic context.
PhaVIP,Viral / Virome,https://github.com/KennthShang/PhaVIP,Phage virion protein classification using chaos game representation and vision transformer models.
Phynteny,Viral / Virome,https://github.com/susiegriggo/Phynteny,Synteny-aware phage protein function prediction using conserved gene order across phages.
multiPhATE2,Viral / Virome,https://github.com/carolzhou/multiPhATE2,Automated functional annotation and comparison pipeline for phage genomes.
Phables,Viral / Virome,https://github.com/Vini2/phables,Resolves complete phage genomes from fragmented viral metagenome assembly graphs using graph decomposition.
VirHostMatcher-Net,Viral / Virome,https://github.com/WeiliWw/VirHostMatcher-Net,Network/deep-learning style host prediction for viruses/phages based on sequence features and host-virus links.
ViralQC,Viral / Virome,https://github.com/KennthShang/ViralQC,Newer tool for assessing completeness and contamination of predicted viral contigs/bins using foundation-model-style sequence information and protein organization.
PhaGCN,Viral / Virome,https://github.com/KennthShang/PhaGCN,Graph convolutional network classifier for taxonomic classification of phage contigs.
VITAP,Viral / Virome,https://github.com/KennthShang/VITAP,Viral Taxonomic Assignment Pipeline for DNA and RNA virus classification.
vConTACT2,Viral / Virome,https://github.com/Hocnonsense/vcontact2,Gene-sharing network approach for viral taxonomy and clustering of viral genomes/contigs.
PRFect,Viral / Virome,https://github.com/deprekate/prfect,Machine-learning method to predict programmed ribosomal frameshifts in coding genes.
Microviz,Visualisation,https://david-barnett.github.io/microViz/,"R package for ordination, taxonomic bar charts, heatmaps on phyloseq objects."
GraPhlAn,Visualisation,https://github.com/biobakery/graphlan,Compact circular phylogenetic and taxonomic visualisation.
q2-qurro / Qurro,Visualisation,https://github.com/biocore/qurro,Interactive rank-plot visualisation for log-ratio analyses.
Pavian,Visualisation,https://github.com/fbreitwieser/pavian,Shiny app for interactive exploration of Kraken/KrakenUniq/Bracken reports.
Krona,Visualisation,https://github.com/marbl/Krona,Interactive hierarchical (multi-level pie) visualisation of taxonomic abundance.
iTOL,Visualisation,https://itol.embl.de/,Interactive Tree Of Life web-based phylogenetic tree annotation.
ANVI'O,Workflow / pipeline frameworks,https://anvio.org/,"Interactive platform for microbial pan-genomics, metagenomics, MAG curation and visualisation."
MetaWRAP,Workflow / pipeline frameworks,https://github.com/bxlab/metaWRAP,Modular MAG-recovery pipeline wrapping multiple binners and refiners.
ATLAS,Workflow / pipeline frameworks,https://github.com/metagenome-atlas/atlas,"Snakemake metagenomics pipeline producing MAGs with binning, refinement, annotation."
Aviary,Workflow / pipeline frameworks,https://github.com/rhysnewell/aviary,"Workflow for metagenome assembly, binning, quality control and genome recovery."
Sunbeam,Workflow / pipeline frameworks,https://github.com/sunbeam-labs/sunbeam,"Snakemake metagenomics pipeline (QC, host removal, classification, assembly)."
bioBakery3/4,Workflow / pipeline frameworks,https://huttenhower.sph.harvard.edu/biobakery_workflows/,"Huttenhower lab suite: KneadData, MetaPhlAn, HUMAnN, StrainPhlAn, MaAsLin."
nf-core/mag,Workflow / pipeline frameworks,https://nf-co.re/mag,"Nextflow pipeline for shotgun metagenomics: QC, assembly, binning, taxonomy, AMR."
nf-core/taxprofiler,Workflow / pipeline frameworks,https://nf-co.re/taxprofiler,Nextflow pipeline for taxonomic profiling of shotgun/metabarcoding data with multiple classifiers.
Snakemake,Workflow / pipeline frameworks,https://snakemake.readthedocs.io/,General reproducible workflow-management system widely used in bioinformatics.
Nextflow,Workflow / pipeline frameworks,https://www.nextflow.io/,Workflow-management system underlying nf-core and many cloud/HPC metagenomic workflows.MetagenBERT,Transformer-based metagenome representation,https://github.com/CorvusVaine/MetagenBERT,Transformer framework producing end-to-end metagenome embeddings directly from raw DNA reads (DNABERT-2/DNABERT-MS) without taxonomic annotation; aggregates read embeddings via FAISS K-Means clustering for disease classification.
